date,team,opponent,offensive_first_downs,offensive_third_down_conversions,offensive_third_down_opportunities,offensive_fourth_down_conversions,offensive_fourth_down_conversion_attempts,offensive_passing_completions,offensive_passing_attempts,offensive_passing_yards,offensive_rushing_attempts,offensive_rushing_yards,offensive_total_yards,offensive_sacks_taken,offensive_yards_lost_from_sacks,offensive_fumbles,offensive_interceptions,offensive_turnovers,offensive_penalties,offensive_penalty_yards,offensive_redzone_conversions,offensive_redzone_drives,team_def_st_td,offensive_drives,team_offensive_time_of_possession,defensive_first_downs_allowed,defensive_third_down_conversions_allowed,defensive_third_down_opportunities,defensive_fourth_down_conversions_allowed,defensive_fourth_down_conversion_attempts,defensive_passing_completions,defensive_passing_attempts,defensive_passing_yards_allowed,defensive_rushing_attempts,defensive_rushing_yards_allowed,defensive_total_yards_allowed,defensive_sacks,defensive_sack_yards,defensive_fumbles_forced,defensive_int_forced,defensive_turnovers_forced,opposing_team_team_penalties,opposing_team_penalty_yards,defensive_redzone_conversions,defensive_redzone_opportunities,opposing_team_def_st_td,opposing_team_drives,opposing_team_possession,points_scored,points_allowed,team_score,opponent_score,game_result
2012-01-01,Packers,Lions,21.454545454545453,5.2727272727272725,11.545454545454545,0.36363636363636365,0.5454545454545454,22.0,33.27272727272727,288.72727272727275,24.181818181818183,94.45454545454545,383.1818181818182,2.8181818181818183,16.363636363636363,0.2727272727272727,0.36363636363636365,0.6363636363636364,4.2727272727272725,31.454545454545453,2.6363636363636362,4.181818181818182,0.8181818181818182,11.090909090909092,29.566666666666663,22.09090909090909,5.181818181818182,12.181818181818182,0.18181818181818182,0.9090909090909091,22.818181818181817,37.63636363636363,268.27272727272725,26.454545454545453,130.1818181818182,398.45454545454544,1.4545454545454546,8.272727272727273,0.18181818181818182,1.9090909090909092,2.090909090909091,8.090909090909092,62.54545454545455,1.8181818181818181,3.0,0.09090909090909091,11.272727272727273,30.433333333333334,23.181818181818183,30.272727272727273,41,45,1
2012-09-09,Packers,49ers,22.181818181818183,5.0,11.272727272727273,0.36363636363636365,0.5454545454545454,22.454545454545453,33.72727272727273,297.8181818181818,24.545454545454547,96.63636363636364,394.45454545454544,2.727272727272727,14.909090909090908,0.2727272727272727,0.45454545454545453,0.7272727272727273,4.2727272727272725,33.54545454545455,2.727272727272727,4.090909090909091,0.8181818181818182,11.545454545454545,29.428787878787883,23.363636363636363,5.090909090909091,12.181818181818182,0.2727272727272727,1.0909090909090908,24.454545454545453,40.09090909090909,299.72727272727275,25.818181818181817,128.1818181818182,427.90909090909093,1.5454545454545454,8.909090909090908,0.36363636363636365,1.9090909090909092,2.272727272727273,8.636363636363637,67.72727272727273,2.090909090909091,3.4545454545454546,0.09090909090909091,11.636363636363637,30.571212121212117,24.636363636363637,33.09090909090909,30,22,0
2012-09-13,Packers,Bears,22.272727272727273,5.181818181818182,11.272727272727273,0.2727272727272727,0.5454545454545454,23.545454545454547,35.09090909090909,295.09090909090907,23.0,92.54545454545455,387.6363636363636,2.909090909090909,16.454545454545453,0.2727272727272727,0.45454545454545453,0.7272727272727273,4.909090909090909,39.09090909090909,2.6363636363636362,3.909090909090909,0.9090909090909091,11.545454545454545,29.218181818181822,23.363636363636363,5.0,11.818181818181818,0.18181818181818182,0.7272727272727273,23.636363636363637,38.36363636363637,289.27272727272725,26.545454545454547,134.36363636363637,423.6363636363636,1.6363636363636365,8.727272727272727,0.36363636363636365,1.8181818181818181,2.1818181818181817,8.727272727272727,69.63636363636364,2.090909090909091,3.1818181818181817,0.09090909090909091,11.727272727272727,30.781818181818178,27.09090909090909,32.90909090909091,10,23,1
2012-09-24,Packers,Seahawks,21.727272727272727,5.363636363636363,11.818181818181818,0.36363636363636365,0.6363636363636364,23.454545454545453,35.36363636363637,286.72727272727275,23.181818181818183,91.81818181818181,378.54545454545456,3.0,16.727272727272727,0.2727272727272727,0.5454545454545454,0.8181818181818182,4.7272727272727275,40.0,2.4545454545454546,3.5454545454545454,0.9090909090909091,11.727272727272727,29.225757575757576,22.363636363636363,4.636363636363637,11.727272727272727,0.2727272727272727,0.9090909090909091,23.454545454545453,37.90909090909091,276.27272727272725,25.818181818181817,123.0909090909091,399.3636363636364,2.090909090909091,13.272727272727273,0.36363636363636365,2.0,2.3636363636363638,8.636363636363637,67.27272727272727,1.9090909090909092,3.0,0.09090909090909091,11.909090909090908,30.774242424242424,25.0,32.54545454545455,12,14,1
2012-09-30,Packers,Saints,21.818181818181817,5.454545454545454,12.272727272727273,0.36363636363636365,0.5454545454545454,23.90909090909091,36.54545454545455,282.3636363636364,22.727272727272727,87.0909090909091,369.45454545454544,3.3636363636363638,18.90909090909091,0.2727272727272727,0.5454545454545454,0.8181818181818182,5.181818181818182,48.54545454545455,2.1818181818181817,3.1818181818181817,0.5454545454545454,11.727272727272727,29.58030303030303,21.09090909090909,4.363636363636363,11.727272727272727,0.45454545454545453,1.1818181818181819,22.0,35.63636363636363,252.27272727272728,26.545454545454547,126.9090909090909,379.1818181818182,2.0,14.090909090909092,0.36363636363636365,1.7272727272727273,2.090909090909091,9.181818181818182,72.18181818181819,1.6363636363636365,2.727272727272727,0.09090909090909091,11.818181818181818,30.41969696969697,22.0,30.363636363636363,27,28,1
2012-10-07,Packers,Colts,22.454545454545453,5.181818181818182,11.818181818181818,0.2727272727272727,0.45454545454545453,24.454545454545453,37.36363636363637,287.1818181818182,22.181818181818183,88.18181818181819,375.3636363636364,3.090909090909091,16.90909090909091,0.2727272727272727,0.6363636363636364,0.9090909090909091,5.7272727272727275,52.0,1.8181818181818181,2.727272727272727,0.45454545454545453,11.727272727272727,29.237878787878785,22.09090909090909,4.7272727272727275,12.0,0.5454545454545454,1.0909090909090908,23.727272727272727,37.45454545454545,276.54545454545456,26.272727272727273,121.54545454545455,398.09090909090907,1.9090909090909092,13.090909090909092,0.36363636363636365,1.6363636363636365,2.0,9.181818181818182,71.45454545454545,1.5454545454545454,2.6363636363636362,0.09090909090909091,12.0,30.76212121212121,23.818181818181817,28.818181818181817,27,30,1
2012-10-14,Packers,Texans,22.181818181818183,4.909090909090909,11.909090909090908,0.18181818181818182,0.36363636363636365,24.181818181818183,37.18181818181818,279.90909090909093,22.272727272727273,93.45454545454545,373.3636363636364,3.3636363636363638,18.363636363636363,0.2727272727272727,0.6363636363636364,0.9090909090909091,6.090909090909091,56.72727272727273,1.4545454545454546,2.272727272727273,0.45454545454545453,12.090909090909092,28.88181818181818,22.636363636363637,5.0,12.818181818181818,0.5454545454545454,1.0909090909090908,24.0,39.0,277.54545454545456,27.181818181818183,121.36363636363636,398.90909090909093,2.090909090909091,13.909090909090908,0.36363636363636365,1.5454545454545454,1.9090909090909092,9.181818181818182,75.54545454545455,1.3636363636363635,2.272727272727273,0.09090909090909091,12.363636363636363,31.118181818181814,23.90909090909091,28.363636363636363,42,24,0
2012-10-21,Packers,Rams,22.818181818181817,5.181818181818182,12.272727272727273,0.18181818181818182,0.45454545454545453,24.363636363636363,37.54545454545455,282.8181818181818,23.454545454545453,97.63636363636364,380.45454545454544,3.3636363636363638,18.272727272727273,0.2727272727272727,0.6363636363636364,0.9090909090909091,5.818181818181818,56.45454545454545,1.2727272727272727,1.9090909090909092,0.45454545454545453,12.181818181818182,28.771212121212123,22.636363636363637,5.0,13.0,0.5454545454545454,1.0909090909090908,23.09090909090909,38.36363636363637,273.72727272727275,27.818181818181817,117.18181818181819,390.90909090909093,2.272727272727273,15.818181818181818,0.36363636363636365,1.5454545454545454,1.9090909090909092,8.818181818181818,74.36363636363636,1.1818181818181819,2.090909090909091,0.18181818181818182,12.454545454545455,31.228787878787877,25.272727272727273,29.181818181818183,30,20,0
2012-10-28,Packers,Jaguars,22.181818181818183,5.363636363636363,12.545454545454545,0.18181818181818182,0.45454545454545453,24.545454545454547,36.63636363636363,280.27272727272725,23.272727272727273,95.9090909090909,376.1818181818182,3.4545454545454546,18.363636363636363,0.2727272727272727,0.5454545454545454,0.8181818181818182,5.7272727272727275,56.45454545454545,0.9090909090909091,1.4545454545454546,0.2727272727272727,12.0,28.763636363636362,22.181818181818183,4.909090909090909,13.0,0.6363636363636364,1.3636363636363635,22.90909090909091,37.81818181818182,264.54545454545456,28.0,117.9090909090909,382.45454545454544,2.4545454545454546,16.636363636363637,0.2727272727272727,1.5454545454545454,1.8181818181818181,8.818181818181818,72.0909090909091,0.9090909090909091,1.7272727272727273,0.18181818181818182,12.181818181818182,31.236363636363635,24.545454545454547,27.818181818181817,15,24,1
2012-11-04,Packers,Cardinals,22.0,5.545454545454546,12.727272727272727,0.18181818181818182,0.5454545454545454,25.0,37.0,272.72727272727275,23.454545454545453,89.54545454545455,362.27272727272725,3.272727272727273,17.272727272727273,0.36363636363636365,0.45454545454545453,0.8181818181818182,5.7272727272727275,56.27272727272727,0.7272727272727273,0.8181818181818182,0.18181818181818182,12.0,28.812121212121212,21.727272727272727,4.909090909090909,13.272727272727273,0.5454545454545454,1.3636363636363635,23.181818181818183,38.36363636363637,268.09090909090907,27.181818181818183,112.9090909090909,381.0,2.5454545454545454,18.181818181818183,0.2727272727272727,1.1818181818181819,1.4545454545454546,8.454545454545455,71.0,0.7272727272727273,1.4545454545454546,0.18181818181818182,12.0,31.187878787878788,24.454545454545453,25.818181818181817,17,31,1
2012-11-18,Packers,Lions,22.363636363636363,5.545454545454546,12.818181818181818,0.18181818181818182,0.45454545454545453,24.727272727272727,36.54545454545455,272.27272727272725,25.363636363636363,96.27272727272727,368.54545454545456,3.0,16.181818181818183,0.36363636363636365,0.5454545454545454,0.9090909090909091,5.363636363636363,53.36363636363637,0.5454545454545454,0.6363636363636364,0.18181818181818182,12.454545454545455,29.69242424242424,21.09090909090909,4.909090909090909,13.545454545454545,0.6363636363636364,1.4545454545454546,23.181818181818183,39.72727272727273,266.90909090909093,25.272727272727273,105.18181818181819,372.09090909090907,2.727272727272727,20.0,0.36363636363636365,1.2727272727272727,1.6363636363636365,8.545454545454545,71.18181818181819,0.6363636363636364,1.0,0.18181818181818182,12.272727272727273,30.30757575757576,24.727272727272727,26.90909090909091,24,20,0
2012-11-25,Packers,Giants,22.09090909090909,5.636363636363637,13.181818181818182,0.18181818181818182,0.5454545454545454,24.545454545454547,36.36363636363637,266.54545454545456,26.09090909090909,97.54545454545455,364.09090909090907,3.1818181818181817,17.636363636363637,0.36363636363636365,0.6363636363636364,1.0,6.181818181818182,60.63636363636363,0.18181818181818182,0.2727272727272727,0.36363636363636365,12.545454545454545,30.2469696969697,20.636363636363637,4.909090909090909,13.818181818181818,0.6363636363636364,1.5454545454545454,23.0,40.72727272727273,267.8181818181818,23.636363636363637,97.0909090909091,364.90909090909093,3.1818181818181817,21.272727272727273,0.5454545454545454,1.2727272727272727,1.8181818181818181,8.636363636363637,73.18181818181819,0.45454545454545453,0.6363636363636364,0.09090909090909091,12.454545454545455,29.7530303030303,25.0,25.545454545454547,10,38,1
2012-12-02,Packers,Vikings,21.09090909090909,5.545454545454546,13.181818181818182,0.18181818181818182,0.6363636363636364,23.09090909090909,34.81818181818182,242.1818181818182,26.272727272727273,100.72727272727273,342.90909090909093,3.3636363636363638,19.272727272727273,0.36363636363636365,0.6363636363636364,1.0,6.363636363636363,58.0,0.0,0.0,0.36363636363636365,12.181818181818182,29.984848484848484,19.818181818181817,5.090909090909091,13.909090909090908,0.6363636363636364,1.5454545454545454,21.181818181818183,38.09090909090909,244.27272727272728,25.09090909090909,103.81818181818181,348.09090909090907,3.090909090909091,20.181818181818183,0.36363636363636365,1.0909090909090908,1.4545454545454546,8.0,66.18181818181819,0.0,0.0,0.09090909090909091,12.181818181818182,30.015151515151512,22.181818181818183,24.90909090909091,14,23,1
2012-12-09,Packers,Lions,21.181818181818183,5.818181818181818,13.454545454545455,0.18181818181818182,0.5454545454545454,22.818181818181817,34.0,242.54545454545453,28.272727272727273,110.45454545454545,353.0,3.272727272727273,17.363636363636363,0.36363636363636365,0.6363636363636364,1.0,6.363636363636363,58.09090909090909,0.0,0.0,0.2727272727272727,12.181818181818182,31.030303030303028,19.272727272727273,5.454545454545454,14.181818181818182,0.6363636363636364,1.5454545454545454,20.454545454545453,38.0,237.72727272727272,24.727272727272727,108.72727272727273,346.45454545454544,2.727272727272727,18.363636363636363,0.36363636363636365,1.2727272727272727,1.6363636363636365,7.7272727272727275,64.54545454545455,0.0,0.0,0.09090909090909091,12.0,28.969696969696965,20.727272727272727,25.0,20,27,1
2012-12-16,Packers,Bears,20.818181818181817,5.909090909090909,13.181818181818182,0.09090909090909091,0.45454545454545453,22.0,33.18181818181818,236.45454545454547,28.0,113.54545454545455,350.0,3.090909090909091,16.818181818181817,0.36363636363636365,0.5454545454545454,0.9090909090909091,6.636363636363637,57.72727272727273,0.0,0.0,0.45454545454545453,11.818181818181818,30.174242424242422,20.727272727272727,6.0,14.363636363636363,0.6363636363636364,1.5454545454545454,21.90909090909091,39.63636363636363,253.8181818181818,25.545454545454547,112.45454545454545,366.27272727272725,2.1818181818181817,14.818181818181818,0.45454545454545453,1.0,1.4545454545454546,7.454545454545454,63.63636363636363,0.0,0.0,0.09090909090909091,11.909090909090908,29.825757575757574,21.636363636363637,25.363636363636363,21,13,0
2012-12-23,Packers,Titans,20.636363636363637,5.909090909090909,13.363636363636363,0.2727272727272727,0.6363636363636364,21.727272727272727,32.90909090909091,245.0,29.0,116.18181818181819,361.1818181818182,2.6363636363636362,14.454545454545455,0.5454545454545454,0.5454545454545454,1.0909090909090908,6.454545454545454,55.63636363636363,0.0,0.0,0.45454545454545453,12.0,30.15,20.545454545454547,5.818181818181818,14.181818181818182,0.45454545454545453,1.3636363636363635,22.09090909090909,39.63636363636363,253.45454545454547,25.0,108.45454545454545,361.90909090909093,2.4545454545454546,15.636363636363637,0.45454545454545453,1.0909090909090908,1.5454545454545454,7.090909090909091,61.18181818181818,0.0,0.0,0.09090909090909091,12.0,29.849999999999998,22.454545454545453,25.272727272727273,7,55,1
2012-12-30,Packers,Vikings,20.454545454545453,5.7272727272727275,13.636363636363637,0.36363636363636365,0.8181818181818182,21.454545454545453,32.81818181818182,247.1818181818182,29.90909090909091,117.54545454545455,364.72727272727275,2.727272727272727,15.181818181818182,0.45454545454545453,0.45454545454545453,0.9090909090909091,5.909090909090909,52.63636363636363,0.0,0.0,0.45454545454545453,12.272727272727273,30.592424242424247,19.181818181818183,5.363636363636363,14.0,0.36363636363636365,1.4545454545454546,20.09090909090909,37.45454545454545,223.63636363636363,25.272727272727273,111.54545454545455,335.1818181818182,2.909090909090909,17.636363636363637,0.45454545454545453,1.2727272727272727,1.7272727272727273,6.636363636363637,57.81818181818182,0.0,0.0,0.09090909090909091,12.090909090909092,29.40757575757576,20.636363636363637,27.727272727272727,34,37,1
2013-09-08,Packers,49ers,20.727272727272727,5.909090909090909,13.636363636363637,0.45454545454545453,0.9090909090909091,22.181818181818183,33.54545454545455,258.6363636363636,29.181818181818183,110.54545454545455,369.1818181818182,2.727272727272727,15.545454545454545,0.5454545454545454,0.36363636363636365,0.9090909090909091,5.7272727272727275,48.45454545454545,0.0,0.0,0.45454545454545453,11.818181818181818,30.8969696969697,18.90909090909091,5.181818181818182,13.272727272727273,0.45454545454545453,1.4545454545454546,18.727272727272727,35.0,212.9090909090909,25.90909090909091,120.45454545454545,333.3636363636364,2.6363636363636362,16.727272727272727,0.45454545454545453,1.1818181818181819,1.6363636363636365,6.7272727272727275,57.63636363636363,0.0,0.0,0.09090909090909091,11.727272727272727,29.1030303030303,21.272727272727273,28.363636363636363,28,34,1
2013-09-15,Packers,Commanders,20.545454545454547,5.818181818181818,13.272727272727273,0.45454545454545453,0.8181818181818182,21.90909090909091,33.54545454545455,258.09090909090907,28.09090909090909,107.27272727272727,365.3636363636364,2.727272727272727,15.636363636363637,0.6363636363636364,0.45454545454545453,1.0909090909090908,5.818181818181818,47.81818181818182,0.36363636363636365,0.36363636363636365,0.45454545454545453,11.909090909090908,30.3,18.90909090909091,5.545454545454546,13.818181818181818,0.5454545454545454,1.5454545454545454,19.181818181818183,35.09090909090909,228.63636363636363,26.454545454545453,120.45454545454545,349.09090909090907,2.5454545454545454,15.272727272727273,0.45454545454545453,0.9090909090909091,1.3636363636363635,7.090909090909091,59.09090909090909,0.2727272727272727,0.45454545454545453,0.0,11.818181818181818,29.700000000000003,20.0,29.272727272727273,20,38,1
2013-09-22,Packers,Bengals,21.09090909090909,5.363636363636363,12.818181818181818,0.5454545454545454,0.9090909090909091,22.272727272727273,34.0,268.0,27.90909090909091,113.54545454545455,381.54545454545456,2.8181818181818183,18.272727272727273,0.7272727272727273,0.45454545454545453,1.1818181818181819,5.909090909090909,48.72727272727273,0.6363636363636364,0.9090909090909091,0.45454545454545453,11.909090909090908,30.25606060606061,18.818181818181817,5.454545454545454,13.818181818181818,0.5454545454545454,1.4545454545454546,19.636363636363637,35.63636363636363,234.8181818181818,26.0,120.45454545454545,355.27272727272725,2.3636363636363638,15.0,0.45454545454545453,0.9090909090909091,1.3636363636363635,7.181818181818182,63.45454545454545,0.5454545454545454,0.7272727272727273,0.0,12.090909090909092,29.743939393939396,19.09090909090909,30.90909090909091,30,34,1
2013-10-06,Packers,Lions,21.727272727272727,5.2727272727272725,12.818181818181818,0.5454545454545454,1.0,22.636363636363637,34.63636363636363,272.09090909090907,28.272727272727273,124.0909090909091,396.1818181818182,3.0,19.454545454545453,0.8181818181818182,0.6363636363636364,1.4545454545454546,5.818181818181818,50.72727272727273,0.8181818181818182,1.2727272727272727,0.5454545454545454,11.818181818181818,30.496969696969696,18.90909090909091,5.363636363636363,13.363636363636363,0.5454545454545454,1.2727272727272727,19.0,33.72727272727273,229.0,26.363636363636363,122.27272727272727,351.27272727272725,2.5454545454545454,14.636363636363637,0.6363636363636364,1.0,1.6363636363636365,7.0,60.36363636363637,0.8181818181818182,1.0,0.09090909090909091,12.090909090909092,29.5030303030303,20.454545454545453,31.818181818181817,9,22,1
